1 0.00942091 0.010601
2 0.018309 0.0207914
3 0.0278609 0.0312389
4 0.0389676 0.0452829
5 0.0516901 0.0612944
6 0.0703066 0.0808728
7 0.0926299 0.102609
8 0.119272 0.131598
9 0.156017 0.166093
10 0.199345 0.212415
11 0.246076 0.260594
12 0.301439 0.319739
13 0.37024 0.384033
14 0.433344 0.448254
15 0.490689 0.5125
16 0.544869 0.571932
17 0.600498 0.631455
18 0.656775 0.69145
19 0.715163 0.74961
20 0.763649 0.804863
21 0.807001 0.852045
22 0.850555 0.896222
23 0.885602 0.924325
24 0.911978 0.946857
25 0.93707 0.964168
26 0.957181 0.980242
27 0.976494 0.99289
28 0.987382 0.995967
29 0.991667 0.998521
30 0.994408 0.999891
31 0.996323 1
32 0.997596 1
