1 0.00284216 0.00519849
2 0.00550701 0.0101019
3 0.00827441 0.0150839
4 0.0115849 0.0200812
5 0.0166806 0.025398
6 0.0242712 0.031248
7 0.0333269 0.0375585
8 0.0436032 0.0442274
9 0.0561908 0.0524019
10 0.071554 0.0632185
11 0.0901986 0.0797442
12 0.112049 0.100511
13 0.137181 0.12251
14 0.164066 0.145496
15 0.19317 0.170296
16 0.224594 0.197653
17 0.257894 0.22673
18 0.292498 0.258245
19 0.327472 0.287845
20 0.365112 0.316446
21 0.403592 0.344247
22 0.4418 0.372373
23 0.480468 0.400413
24 0.518258 0.432586
25 0.55397 0.466845
26 0.59008 0.502578
27 0.62506 0.53657
28 0.659104 0.567701
29 0.692545 0.597046
30 0.725016 0.624943
31 0.755571 0.653201
32 0.786737 0.679223
33 0.814082 0.705848
34 0.840037 0.73312
35 0.863311 0.762008
36 0.883856 0.790209
37 0.902278 0.815492
38 0.917772 0.835134
39 0.931438 0.852767
40 0.943801 0.868827
41 0.954239 0.882657
42 0.963873 0.894643
43 0.97197 0.904555
44 0.978429 0.913939
45 0.983787 0.922902
46 0.987716 0.932031
47 0.990962 0.938674
48 0.993516 0.944048
49 0.995421 0.948821
50 0.99679 0.953686
51 0.997649 0.959027
52 0.998327 0.964432
53 0.998859 0.969688
54 0.999234 0.974917
55 0.999524 0.980058
56 0.999748 0.98554
57 0.999906 0.991252
58 0.999975 0.994535
59 0.999997 0.996861
60 1 0.999197
61 1 1
